pupil,school,minority,sex,ses,mathach
p1632,s2917,Yes,Female,-0.828,16.19
p1633,s2917,Yes,Female,-1.488,6.245
p1634,s2917,Yes,Female,-0.588,5.514
p1635,s2917,Yes,Female,-2.468,0.936
p1636,s2917,Yes,Female,-1.368,5.898
p1637,s2917,Yes,Female,-1.818,2.191
p1638,s2917,Yes,Female,-2.328,0.643
p1639,s2990,No,Male,1.222,21.791
p1640,s2990,Yes,Male,0.432,21.14
p1641,s2990,Yes,Male,1.452,22.418
p1642,s2990,Yes,Male,0.122,20.752
p1643,s2990,Yes,Male,0.192,23.029
p1644,s2990,Yes,Male,-0.458,13.969
p1645,s2990,Yes,Male,1.122,24.993
p1646,s2990,Yes,Male,-0.178,19.192
p1647,s2990,Yes,Male,0.092,22.639
p1648,s2990,Yes,Male,1.452,15.507
p1649,s2990,No,Male,1.242,20.192
p1650,s2990,Yes,Male,0.902,24.401
p1651,s2990,Yes,Male,0.222,17.099
p1652,s2990,Yes,Male,0.892,22.016
p1653,s2990,No,Male,1.082,24.401
p1654,s2990,Yes,Male,-0.598,15.119
p1655,s2990,No,Male,1.422,13.823
p1656,s2990,Yes,Male,0.802,21.02
p1657,s2990,Yes,Male,1.512,16.93
p1658,s2990,Yes,Male,1.022,20.249
p1659,s2990,No,Male,0.852,21.345
p1660,s2990,Yes,Male,-0.928,16.162
p1661,s2990,Yes,Male,0.852,16.317
p1662,s2990,No,Male,0.822,22.845
p1663,s2990,Yes,Male,1.232,19.29
p1664,s2990,No,Male,0.212,24.479
p1665,s2990,Yes,Male,-0.428,11.616
p1666,s2990,Yes,Male,1.212,18.008
p1667,s2990,Yes,Male,1.112,19.12
p1668,s2990,Yes,Male,0.142,19.689
p1669,s2990,No,Male,1.262,23.002
p1670,s2990,Yes,Male,0.642,18.86
p1671,s2990,No,Male,-0.768,16.825
p1672,s2990,Yes,Male,0.552,22.219
p1673,s2990,No,Male,1.332,18.092
p1674,s2990,No,Male,0.252,17.209
p1675,s2990,No,Male,0.262,9.139
p1676,s2990,Yes,Male,1.262,18.608
p1677,s2990,Yes,Male,0.792,20.577
p1678,s2990,No,Male,0.482,13.859
p1679,s2990,Yes,Male,-0.058,20.682
p1680,s2990,Yes,Male,1.512,17.246
p1681,s2990,Yes,Male,1.512,9.574
p1682,s2990,Yes,Male,-0.288,6.315
p1683,s2990,No,Male,1.072,17.979
p1684,s2990,No,Male,1.002,21.396
p1685,s2990,No,Male,1.332,10.175
p1686,s2990,Yes,Male,0.242,14.192
p1687,s2995,Yes,Male,0.042,16.13
p1688,s2995,Yes,Male,1.832,3.507
p1689,s2995,No,Female,-0.298,13.641
p1690,s2995,No,Male,-0.328,9.476
p1691,s2995,No,Male,-0.438,13.207
p1692,s2995,No,Female,0.482,16.358
p1693,s2995,No,Male,0.032,24.107
p1694,s2995,Yes,Female,-1.408,7.63
p1695,s2995,No,Female,-1.688,17.47
p1696,s2995,No,Male,0.532,7.089
p1697,s2995,Yes,Female,-1.298,3.493
p1698,s2995,No,Female,0.162,4.933
p1699,s2995,Yes,Female,-0.938,7.756
p1700,s2995,No,Male,-1.078,4.244
p1701,s2995,No,Male,0.762,17.727
p1702,s2995,No,Female,-0.268,3.066
p1703,s2995,No,Male,1.112,22.835
p1704,s2995,No,Female,-0.948,0.635
p1705,s2995,No,Female,-0.758,8.297
p1706,s2995,Yes,Male,-0.538,14.608
p1707,s2995,No,Female,-0.708,7.128
p1708,s2995,No,Male,0.312,15.14
p1709,s2995,No,Male,-0.968,2.776
p1710,s2995,No,Female,-1.688,12.825
p1711,s2995,No,Male,-0.988,2.98
p1712,s2995,No,Female,-0.038,19.253
p1713,s2995,No,Female,-0.998,-0.535
p1714,s2995,No,Male,0.012,21.935
p1715,s2995,No,Male,-0.268,10.96
p1716,s2995,No,Male,0.582,1.31
p1717,s2995,No,Male,-0.288,0.431
p1718,s2995,No,Female,-0.838,14.888
p1719,s2995,Yes,Female,-1.678,9.699
p1720,s2995,No,Male,0.162,-0.836
p1721,s2995,No,Female,1.232,8.533
p1722,s2995,Yes,Male,-1.338,0.495
p1723,s2995,No,Male,0.982,8.144
p1724,s2995,No,Male,-0.158,6.445
p1725,s2995,No,Female,-1.618,19.705
p1726,s2995,No,Male,-1.278,9.527
p1727,s2995,Yes,Female,-1.638,-1.009
p1728,s2995,No,Female,0.792,13.142
p1729,s2995,No,Male,0.242,18.421
p1730,s2995,No,Female,0.602,20.998
p1731,s2995,No,Male,0.662,1.568
p1732,s2995,No,Female,0.062,-1.011
p1733,s3013,No,Male,0.022,22.221
p1734,s3013,No,Male,0.692,21.474
p1735,s3013,No,Male,-0.478,0.495
p1736,s3013,No,Female,0.202,1.263
p1737,s3013,No,Female,0.092,17.047
p1738,s3013,No,Female,0.002,13.695
p1739,s3013,No,Male,0.002,20.64
p1740,s3013,No,Male,0.222,20.633
p1741,s3013,No,Female,0.412,20.317
p1742,s3013,No,Male,0.022,7.119
p1743,s3013,No,Male,-0.598,9.408
p1744,s3013,No,Male,0.402,17.372
p1745,s3013,No,Female,0.142,13.491
p1746,s3013,No,Female,0.262,17.485
p1747,s3013,No,Male,-0.478,21.485
p1748,s3013,No,Male,-0.518,11.153
p1749,s3013,No,Male,0.662,12.377
p1750,s3013,No,Female,-0.278,3.18
p1751,s3013,No,Male,0.032,10.309
p1752,s3013,No,Female,-0.428,16.722
p1753,s3013,No,Female,-0.968,5.696
p1754,s3013,No,Male,-0.618,17.717
p1755,s3013,No,Male,0.252,20.159
p1756,s3013,No,Male,-0.138,8.732
p1757,s3013,No,Female,-0.778,-1.1
p1758,s3013,No,Female,-0.048,10.899
p1759,s3013,No,Male,-0.398,8.613
p1760,s3013,No,Male,0.192,15.741
p1761,s3013,No,Male,0.482,16.495
p1762,s3013,No,Male,0.312,5.531
p1763,s3013,No,Male,-0.768,22.377
p1764,s3013,No,Male,-0.248,7.008
p1765,s3013,Yes,Female,-0.708,5.229
p1766,s3013,No,Female,0.372,12.215
p1767,s3013,No,Female,0.402,14.92
p1768,s3013,No,Male,0.232,13.009
p1769,s3013,No,Female,-0.578,-0.008
p1770,s3013,No,Male,-0.458,15.898
p1771,s3013,No,Male,0.462,6.993
p1772,s3013,No,Female,0.102,7.7
p1773,s3013,No,Male,-0.118,6.428
p1774,s3013,No,Male,-0.608,12.867
p1775,s3013,No,Male,0.272,20.811
p1776,s3013,No,Female,0.512,5.783
p1777,s3013,No,Female,0.032,18.846
p1778,s3013,No,Male,0.322,2.285
p1779,s3013,No,Male,1.022,16.208
p1780,s3013,No,Male,0.262,22.311
p1781,s3013,No,Male,-0.188,-1.215
p1782,s3013,No,Male,-0.168,19.696
p1783,s3013,No,Female,0.772,22.854
p1784,s3013,No,Male,-0.998,15.408
p1785,s3013,No,Male,-0.948,14.382
p1786,s3020,No,Female,-0.308,5.137
p1787,s3020,No,Female,-1.098,9.819
p1788,s3020,Yes,Female,-1.158,20.025
p1789,s3020,No,Female,0.902,22.012
p1790,s3020,No,Female,0.692,16.083
p1791,s3020,No,Female,0.682,21.474
p1792,s3020,No,Female,0.342,17.756
p1793,s3020,No,Female,0.772,19.702
p1794,s3020,No,Female,0.682,11.789
p1795,s3020,No,Female,-0.118,7.395
p1796,s3020,No,Female,1.032,12.158
p1797,s3020,No,Female,-0.498,11.461
p1798,s3020,No,Female,-1.258,4.094
p1799,s3020,No,Female,-0.468,10.755
p1800,s3020,No,Female,-0.148,21.164
p1801,s3020,No,Female,0.132,15.936
p1802,s3020,No,Female,0.482,14.254
p1803,s3020,No,Female,-0.538,14.128
p1804,s3020,No,Female,0.902,16.42
p1805,s3020,No,Female,0.222,17.291
p1806,s3020,No,Female,0.212,22.245
p1807,s3020,No,Female,1.182,24.319
p1808,s3020,No,Female,-0.968,24.993
p1809,s3020,No,Female,0.152,22.781
p1810,s3020,No,Female,-0.398,16.205
p1811,s3020,Yes,Female,1.032,16.67
p1812,s3020,No,Female,-0.308,14.069
p1813,s3020,No,Female,0.692,17.839
p1814,s3020,No,Female,0.712,-2.528
p1815,s3020,No,Female,0.212,13.555
p1816,s3020,No,Female,0.572,21.011
p1817,s3020,No,Female,-0.278,8.057
p1818,s3020,No,Female,0.932,17.393
p1819,s3020,No,Female,0.662,14.94
p1820,s3020,No,Female,-1.128,11.591
p1821,s3020,No,Female,0.942,8.656
p1822,s3020,No,Female,1.152,3.571
p1823,s3020,No,Female,-0.258,10.857
p1824,s3020,No,Female,0.052,6.151
p1825,s3020,No,Female,0.262,13.335
p1826,s3020,No,Female,0.132,21.468
p1827,s3020,No,Female,-0.718,3.617
p1828,s3020,No,Female,-0.548,22.151
p1829,s3020,No,Female,1.092,17.699
p1830,s3020,No,Female,0.232,18.828
p1831,s3020,No,Female,0.702,17.757
p1832,s3020,No,Female,0.842,10.247
p1833,s3020,No,Female,0.612,20.066
p1834,s3020,No,Female,0.582,19.287
p1835,s3020,No,Female,0.232,17.706
p1836,s3020,No,Male,0.942,13.261
p1837,s3020,No,Female,0.602,9.664
p1838,s3020,No,Female,-0.148,18.686
p1839,s3020,No,Female,-0.078,-0.451
p1840,s3020,No,Female,0.942,20.069
p1841,s3020,No,Female,0.212,17.39
p1842,s3020,No,Female,1.182,13.656
p1843,s3020,No,Female,0.012,2.172
p1844,s3020,No,Female,0.072,11.485
p1845,s3039,No,Male,-0.248,22.522
p1846,s3039,Yes,Male,0.242,16.08
p1847,s3039,Yes,Male,-0.678,21.175
p1848,s3039,No,Male,1.042,22.989
p1849,s3039,Yes,Male,-0.528,10.546
p1850,s3039,No,Male,1.192,16.267
p1851,s3039,Yes,Male,0.202,4.395
p1852,s3039,No,Male,0.942,15.792
p1853,s3039,No,Male,1.122,20.051
p1854,s3039,No,Male,1.002,18.331
p1855,s3039,No,Male,1.342,20.458
p1856,s3039,Yes,Male,0.082,12.246
p1857,s3039,No,Male,-0.908,7.748
p1858,s3039,No,Male,0.232,24.812
p1859,s3039,No,Male,0.002,17.491
p1860,s3039,Yes,Male,0.942,19.167
p1861,s3039,No,Male,0.982,20.082
p1862,s3039,No,Male,-0.558,14.116
p1863,s3039,Yes,Male,-0.388,17.908
p1864,s3039,No,Male,0.882,23.09
p1865,s3039,Yes,Male,0.402,10.975
p1866,s3088,No,Female,0.352,13.758
p1867,s3088,No,Female,0.702,22.091
p1868,s3088,Yes,Female,-0.438,4.23
p1869,s3088,No,Female,-0.038,15.095
p1870,s3088,Yes,Female,0.292,11.913
p1871,s3088,Yes,Female,-0.138,10.447
p1872,s3088,Yes,Female,-0.138,0.363
p1873,s3088,Yes,Female,-0.458,11.141
p1874,s3088,Yes,Female,-0.628,8.298
p1875,s3088,Yes,Male,0.412,2.38
p1876,s3088,Yes,Male,-1.788,4.838
p1877,s3088,Yes,Male,-0.708,4.5
p1878,s3088,Yes,Male,0.552,14.97
p1879,s3088,No,Male,0.792,4.896
p1880,s3088,No,Male,-1.038,12.177
p1881,s3088,Yes,Male,-0.778,14.987
p1882,s3088,Yes,Male,-1.548,1.314
p1883,s3088,No,Male,0.082,4.007
p1884,s3088,No,Male,0.602,17.404
p1885,s3088,Yes,Male,-1.668,17.599
p1886,s3088,Yes,Male,-1.098,8.139
p1887,s3088,No,Male,-0.998,3.242
p1888,s3088,Yes,Male,-0.858,0.036
p1889,s3088,Yes,Male,0.672,2.211
p1890,s3088,No,Male,0.522,5.27
p1891,s3088,No,Female,-0.138,7.731
p1892,s3088,Yes,Female,-1.078,6.953
p1893,s3088,Yes,Female,-2.508,4.635
p1894,s3088,No,Female,0.032,18.384
p1895,s3088,Yes,Female,-1.818,6.92
p1896,s3088,No,Female,0.002,4.828
p1897,s3088,No,Female,-0.418,16.941
p1898,s3088,Yes,Female,-0.988,8.339
p1899,s3088,Yes,Female,-0.848,4.784
p1900,s3088,No,Female,-0.338,19.106
p1901,s3088,No,Female,-0.408,8.896
p1902,s3088,Yes,Female,-1.458,3.027
p1903,s3088,Yes,Male,-0.628,14.065
p1904,s3088,No,Male,-0.498,16.773
p1905,s3152,No,Female,0.012,12.032
p1906,s3152,No,Female,0.882,16.855
p1907,s3152,No,Female,-1.138,8.486
p1908,s3152,No,Female,0.542,5.826
p1909,s3152,No,Male,0.612,12.818
p1910,s3152,No,Male,0.792,24.993
p1911,s3152,No,Female,0.612,23.08
p1912,s3152,No,Male,-1.368,13.592
p1913,s3152,No,Male,0.662,14.926
p1914,s3152,No,Female,1.072,17.58
p1915,s3152,No,Female,1.172,13.564
p1916,s3152,No,Male,0.762,24.993
p1917,s3152,No,Female,-0.778,8.789
p1918,s3152,No,Male,0.952,23.127
p1919,s3152,No,Female,0.652,12.714
p1920,s3152,No,Male,0.482,18.934
p1921,s3152,No,Male,-0.268,6.466
p1922,s3152,No,Male,-1.018,18.051
p1923,s3152,No,Male,-0.258,22.254
p1924,s3152,No,Male,-0.418,13.128
p1925,s3152,No,Male,0.842,23.818
p1926,s3152,No,Female,-1.368,1.439
p1927,s3152,No,Female,-0.138,5.576
p1928,s3152,No,Female,-0.298,19.71
p1929,s3152,No,Female,-0.428,-2.094
p1930,s3152,No,Male,0.702,2.986
p1931,s3152,No,Female,0.822,22.553
p1932,s3152,Yes,Male,0.832,1.791
p1933,s3152,No,Male,-0.848,19.482
p1934,s3152,Yes,Female,0.782,2.982
p1935,s3152,No,Male,1.212,14.932
p1936,s3152,No,Female,-0.778,8.491
p1937,s3152,No,Male,0.652,22.344
p1938,s3152,No,Female,-1.038,20.36
p1939,s3152,No,Male,-0.628,15.751
p1940,s3152,No,Male,1.202,19.572
p1941,s3152,Yes,Male,-1.298,6.251
p1942,s3152,No,Female,-0.908,10.161
p1943,s3152,No,Male,-0.218,20.953
p1944,s3152,No,Female,-0.508,7.024
p1945,s3152,No,Female,0.332,12.152
p1946,s3152,Yes,Male,-0.278,16.213
p1947,s3152,No,Female,-0.648,9.781
p1948,s3152,No,Male,0.202,-2.5
p1949,s3152,No,Male,-1.258,14.184
p1950,s3152,No,Female,-0.168,-1.237
p1951,s3152,No,Female,1.262,15.562
p1952,s3152,No,Male,-1.128,9.519
p1953,s3152,No,Female,-0.788,7.537
p1954,s3152,No,Female,-0.938,12.144
p1955,s3152,No,Female,1.262,18.943
p1956,s3152,No,Female,1.212,18.282
p1957,s3332,No,Male,0.822,11.922
p1958,s3332,No,Female,0.952,16.781
p1959,s3332,No,Female,-0.218,22.317
p1960,s3332,No,Male,1.292,23.054
p1961,s3332,No,Female,0.372,0.996
p1962,s3332,No,Male,0.292,13.306
p1963,s3332,No,Female,0.532,21.848
p1964,s3332,No,Female,0.302,2.204
p1965,s3332,No,Female,-0.468,12.782
p1966,s3332,No,Female,0.882,16.163
p1967,s3332,No,Female,1.362,15.93
p1968,s3332,No,Female,0.752,19.805
p1969,s3332,No,Male,-0.178,23.054
p1970,s3332,No,Male,0.532,22.661
p1971,s3332,No,Male,-0.328,11.461
p1972,s3332,No,Female,0.062,6.246
p1973,s3332,No,Male,1.122,24.993
p1974,s3332,No,Female,1.142,14.997
p1975,s3332,No,Female,1.042,13.567
p1976,s3332,No,Male,0.832,22.856
p1977,s3332,No,Male,1.362,10.06
p1978,s3332,No,Female,-0.188,5.719
p1979,s3332,No,Female,0.022,7.341
p1980,s3332,No,Female,-0.248,17.632
p1981,s3332,No,Female,0.672,15.569
p1982,s3332,No,Female,0.082,7.554
p1983,s3332,No,Female,0.972,16.206
p1984,s3332,No,Male,1.172,9.355
p1985,s3332,No,Female,-0.628,11.531
p1986,s3332,No,Male,1.212,7.41
p1987,s3332,No,Female,1.012,23.619
p1988,s3332,No,Female,1.262,10.749
p1989,s3332,No,Female,1.162,18.119
p1990,s3332,No,Female,0.762,22.896
p1991,s3332,No,Male,0.762,3.628
p1992,s3332,No,Male,0.882,13.063
p1993,s3332,No,Male,1.342,13.033
p1994,s3332,No,Female,0.522,12.143
p1995,s3351,No,Female,0.582,8.879
p1996,s3351,No,Female,1.372,6.98
p1997,s3351,Yes,Female,0.372,6.652
p1998,s3351,Yes,Male,-0.098,4.361
p1999,s3351,Yes,Male,-1.488,3.377
p2000,s3351,No,Female,0.262,13.294
p2001,s3351,Yes,Male,-2.028,4.388
p2002,s3351,Yes,Male,0.832,4.972
p2003,s3351,No,Female,0.032,17.262
p2004,s3351,Yes,Male,0.352,16.297
p2005,s3351,No,Female,0.532,12.815
p2006,s3351,No,Female,0.982,13.233
p2007,s3351,No,Male,-0.188,24.301
p2008,s3351,No,Female,-0.708,-0.417
p2009,s3351,No,Female,0.932,13.276
p2010,s3351,Yes,Female,0.812,5.305
p2011,s3351,No,Female,0.592,2.781
p2012,s3351,No,Male,1.422,13.188
p2013,s3351,No,Male,0.892,14.7
p2014,s3351,No,Male,1.212,21.054
p2015,s3351,No,Male,1.392,12.381
p2016,s3351,Yes,Male,0.342,22.616
p2017,s3351,Yes,Male,-0.568,5.453
p2018,s3351,No,Male,1.142,6.41
p2019,s3351,No,Male,-0.798,14.87
p2020,s3351,No,Female,-0.018,15.227
p2021,s3351,No,Female,0.672,-0.598
p2022,s3351,No,Male,0.432,17.06
p2023,s3351,No,Male,1.182,22.697
p2024,s3351,No,Male,1.512,11.147
p2025,s3351,No,Female,0.512,17.175
p2026,s3351,No,Female,-0.258,12.905
p2027,s3351,No,Male,-0.278,14.594
p2028,s3351,No,Female,1.122,24.993
p2029,s3351,Yes,Male,-0.798,-1.095
p2030,s3351,No,Male,0.902,5.637
p2031,s3351,No,Male,0.512,20.708
p2032,s3351,Yes,Male,-1.178,10.064
p2033,s3351,No,Male,0.222,8.2
p2034,s3377,Yes,Male,-0.938,14.34
p2035,s3377,Yes,Female,-1.188,5.271
p2036,s3377,Yes,Male,-0.628,6.933
p2037,s3377,Yes,Male,-0.948,13.531
p2038,s3377,Yes,Female,-0.368,2.697
p2039,s3377,Yes,Male,-0.448,12.221
p2040,s3377,Yes,Male,-0.908,16.269
p2041,s3377,Yes,Female,-0.578,0.155
p2042,s3377,Yes,Male,-0.918,18.275
p2043,s3377,Yes,Female,-0.788,2.066
p2044,s3377,Yes,Female,-1.838,7.783
p2045,s3377,Yes,Female,-1.158,8.285
p2046,s3377,Yes,Male,-1.248,7.378
p2047,s3377,Yes,Male,-0.128,5.227
p2048,s3377,Yes,Male,-0.658,3.486
p2049,s3377,Yes,Female,0.102,8.869
p2050,s3377,No,Male,0.792,15.436
p2051,s3377,Yes,Female,-0.048,-2.832
p2052,s3377,Yes,Female,-0.648,3.079
p2053,s3377,Yes,Female,-0.488,6.659
p2054,s3377,Yes,Male,-0.718,21.669
p2055,s3377,Yes,Female,-0.688,19.026
p2056,s3377,Yes,Male,1.092,2.322
p2057,s3377,No,Female,-1.458,12.873
p2058,s3377,Yes,Male,0.232,10.538
p2059,s3377,Yes,Male,-0.918,7.441
p2060,s3377,Yes,Male,-0.908,9.481
p2061,s3377,Yes,Female,-1.438,23.116
p2062,s3377,Yes,Male,-0.138,1.155
p2063,s3377,Yes,Female,-0.838,20.537
p2064,s3377,Yes,Male,-0.808,5.404
p2065,s3377,Yes,Female,-1.088,-0.704
p2066,s3377,Yes,Female,-0.268,19.052
p2067,s3377,Yes,Male,-0.378,16.637
p2068,s3377,Yes,Male,-0.388,14.117
p2069,s3377,Yes,Female,1.042,0.114
p2070,s3377,Yes,Female,-0.768,14.413
p2071,s3377,Yes,Male,-0.088,4.82
p2072,s3377,Yes,Male,-1.858,5.888
p2073,s3377,No,Male,0.462,17.617
p2074,s3377,Yes,Male,-0.498,-0.227
p2075,s3377,Yes,Male,-2.248,3.833
p2076,s3377,Yes,Female,-0.178,10.298
p2077,s3377,Yes,Male,-0.488,-0.009
p2078,s3377,No,Male,0.022,18.863
p2079,s3427,No,Male,-0.038,13.874
p2080,s3427,No,Male,-0.498,13.824
p2081,s3427,No,Male,0.422,19.372
p2082,s3427,No,Male,-0.718,21.296
p2083,s3427,No,Male,-0.258,24.107
p2084,s3427,No,Male,0.062,20.232
p2085,s3427,No,Male,0.632,24.401
p2086,s3427,Yes,Male,-0.678,15.381
p2087,s3427,No,Male,-0.088,22.779
p2088,s3427,No,Male,0.862,13.774
p2089,s3427,No,Male,-0.418,18.072
p2090,s3427,No,Male,-0.038,15.127
p2091,s3427,No,Male,1.312,23.163
p2092,s3427,Yes,Male,1.002,18.013
p2093,s3427,No,Male,0.862,16.703
p2094,s3427,No,Male,-0.268,19.561
p2095,s3427,No,Male,1.312,22.245
p2096,s3427,No,Male,0.512,21.508
p2097,s3427,No,Male,-0.418,15.642
p2098,s3427,No,Male,0.922,22.667
p2099,s3427,No,Male,0.022,20.877
p2100,s3427,Yes,Male,-0.018,22.273
p2101,s3427,No,Male,-0.258,21.828
p2102,s3427,No,Male,0.432,24.993
p2103,s3427,No,Male,-0.118,16.374
p2104,s3427,No,Male,0.622,16.622
p2105,s3427,No,Male,1.282,13.571
p2106,s3427,No,Male,1.512,18.049
p2107,s3427,No,Male,0.062,20.784
p2108,s3427,No,Male,1.082,16.641
p2109,s3427,Yes,Male,-0.298,17.28
p2110,s3427,Yes,Male,-0.158,21.872
p2111,s3427,No,Male,-0.298,24.812
p2112,s3427,No,Male,-0.048,22.801
p2113,s3427,No,Male,0.432,20.961
p2114,s3427,Yes,Male,-0.908,20.786
p2115,s3427,No,Male,0.672,20.621
p2116,s3427,No,Male,-1.288,21.444
p2117,s3427,No,Male,-0.008,20.319
p2118,s3427,No,Male,0.422,21.038
p2119,s3427,No,Male,-0.218,19.8
p2120,s3427,No,Male,-0.758,23.817
p2121,s3427,No,Male,0.792,23.83
p2122,s3427,No,Male,0.482,23.09
p2123,s3427,No,Male,-1.318,19.606
p2124,s3427,No,Male,0.172,21.378
p2125,s3427,No,Male,0.442,12.046
p2126,s3427,No,Male,-0.168,24.147
p2127,s3427,No,Male,0.452,12.663
p2128,s3498,No,Female,1.152,4.259
p2129,s3498,No,Male,0.702,14.653
p2130,s3498,No,Male,1.262,3.243
p2131,s3498,No,Female,-0.078,13.372
p2132,s3498,No,Male,0.932,14.035
p2133,s3498,No,Male,1.512,16.807
p2134,s3498,No,Male,1.022,20.251
p2135,s3498,No,Male,0.372,19.222
p2136,s3498,Yes,Female,0.902,18.402
p2137,s3498,No,Female,0.892,13.488
p2138,s3498,No,Female,1.222,21.797
p2139,s3498,No,Male,-0.088,13.707
p2140,s3498,No,Female,0.682,3.213
p2141,s3498,No,Female,-1.088,19.8
p2142,s3498,No,Male,1.282,14.261
p2143,s3498,No,Female,0.102,4.845
p2144,s3498,No,Male,0.532,13.094
p2145,s3498,No,Female,1.182,21.444
p2146,s3498,No,Female,0.982,21.035
p2147,s3498,No,Female,-0.148,10.276
p2148,s3498,No,Male,0.602,19.268
p2149,s3498,No,Female,0.532,21.366
p2150,s3498,No,Male,0.272,20.514
p2151,s3498,No,Female,0.472,15.495
p2152,s3498,Yes,Male,1.392,19.987
p2153,s3498,No,Male,0.402,24.076
p2154,s3498,No,Male,-0.108,19.707
p2155,s3498,No,Male,0.762,15.019
p2156,s3498,No,Female,0.572,18.704
p2157,s3498,No,Male,1.422,20.707
p2158,s3498,No,Female,-0.098,17.769
p2159,s3498,No,Female,1.282,12.357
p2160,s3498,No,Female,1.082,21.051
p2161,s3498,No,Male,-0.478,18.28
p2162,s3498,No,Female,0.422,21.539
p2163,s3498,No,Female,0.042,17.922
p2164,s3498,Yes,Male,0.832,20.064
p2165,s3498,No,Male,0.942,19.083
p2166,s3498,No,Female,0.452,16.85
p2167,s3498,No,Male,1.372,17.581
p2168,s3498,No,Female,0.192,10.937
p2169,s3498,No,Male,-0.188,14.755
p2170,s3498,No,Male,1.262,11.785
p2171,s3498,No,Male,0.122,16.289
p2172,s3498,No,Male,0.062,19.958
p2173,s3498,No,Male,1.142,19.68
p2174,s3498,Yes,Female,1.262,15.517
p2175,s3498,No,Female,0.282,16.848
p2176,s3498,No,Male,1.012,18.808
p2177,s3498,No,Male,0.872,21.688
p2178,s3498,No,Female,0.802,16.686
p2179,s3498,No,Male,1.122,7.007
p2180,s3498,No,Male,1.512,20.193
p2181,s3499,Yes,Female,0.562,15.165
p2182,s3499,Yes,Female,0.592,10.491
p2183,s3499,No,Female,-0.748,7.605
p2184,s3499,No,Female,0.792,17.419
p2185,s3499,No,Female,0.502,23.294
p2186,s3499,No,Female,1.342,20.432
p2187,s3499,No,Female,-0.098,14.298
p2188,s3499,Yes,Female,1.092,14.418
p2189,s3499,No,Male,0.752,22.418
p2190,s3499,Yes,Female,0.762,10.986
p2191,s3499,No,Female,0.802,13.816
p2192,s3499,No,Male,0.932,7.846
p2193,s3499,Yes,Female,0.342,4.769
p2194,s3499,Yes,Male,1.102,12.938
p2195,s3499,Yes,Male,-0.278,9.513
p2196,s3499,Yes,Male,0.412,8.87
p2197,s3499,Yes,Male,0.842,10.953
p2198,s3499,No,Male,-0.138,16.741
p2199,s3499,No,Female,-1.168,19.923
p2200,s3499,No,Male,1.182,4.237
p2201,s3499,Yes,Female,-0.458,5.813
p2202,s3499,No,Female,0.562,22.468
p2203,s3499,No,Female,1.342,19.258
p2204,s3499,No,Female,0.932,11.363
p2205,s3499,No,Male,0.982,4.487
p2206,s3499,Yes,Female,0.352,12.35
p2207,s3499,No,Female,0.752,17.867
p2208,s3499,No,Female,-0.028,15.259
p2209,s3499,Yes,Male,0.702,17.932
p2210,s3499,Yes,Female,0.472,17.594
p2211,s3499,No,Female,-0.028,19.406
p2212,s3499,Yes,Female,-0.388,7.931
p2213,s3499,Yes,Female,0.732,10.527
p2214,s3499,No,Female,0.192,12.543
p2215,s3499,Yes,Male,-0.238,4.48
p2216,s3499,Yes,Male,-0.688,12.47
p2217,s3499,No,Female,1.082,18.148
p2218,s3499,No,Male,1.242,8.48
p2219,s3533,Yes,Female,-0.338,1.26
p2220,s3533,No,Male,0.132,23.168
p2221,s3533,Yes,Female,-0.348,15.237
p2222,s3533,No,Female,0.482,2.21
p2223,s3533,Yes,Female,-0.438,11.038
p2224,s3533,No,Male,-0.368,4.36
p2225,s3533,No,Female,0.252,-0.06
p2226,s3533,No,Female,-0.938,-2.142
p2227,s3533,Yes,Female,-0.148,2.913
p2228,s3533,No,Female,-0.818,2.117
p2229,s3533,Yes,Male,-0.798,17.225
p2230,s3533,Yes,Female,-0.178,16.494
p2231,s3533,Yes,Male,0.892,22.969
p2232,s3533,Yes,Female,-0.398,9.246
p2233,s3533,Yes,Female,-0.128,18.938
p2234,s3533,No,Male,0.922,16.73
p2235,s3533,No,Female,0.472,6.68
p2236,s3533,No,Female,0.592,2.834
p2237,s3533,No,Male,-0.588,8.753
p2238,s3533,No,Male,-0.798,8.167
p2239,s3533,Yes,Female,-0.838,5.383
p2240,s3533,No,Female,0.232,0.432
p2241,s3533,Yes,Female,0.442,17.449
p2242,s3533,No,Female,-0.218,12.114
p2243,s3533,No,Female,-0.438,16.069
p2244,s3533,Yes,Male,0.132,13.543
p2245,s3533,No,Male,0.372,6.913
p2246,s3533,Yes,Male,-0.538,17.55
p2247,s3533,Yes,Female,0.792,-2.582
p2248,s3533,Yes,Female,0.182,-2.832
p2249,s3533,No,Female,-0.208,4.25
p2250,s3533,Yes,Female,0.422,8.456
p2251,s3533,No,Male,-1.158,18.417
p2252,s3533,No,Female,0.472,13.957
p2253,s3533,No,Male,-0.308,4.27
p2254,s3533,No,Female,-0.008,13.51
p2255,s3533,No,Female,-0.418,10.121
p2256,s3533,No,Male,-0.218,17.361
p2257,s3533,No,Male,-0.618,21.01
p2258,s3533,No,Male,-0.708,13.419
p2259,s3533,Yes,Male,-0.778,15.733
p2260,s3533,Yes,Female,-0.478,21.199
p2261,s3533,No,Male,0.472,9.87
p2262,s3533,No,Male,-0.618,13.037
p2263,s3533,No,Female,0.622,18.261
p2264,s3533,Yes,Female,0.532,14.916
p2265,s3533,No,Female,-0.408,4.799
