year,gender,nativeBorn,ageGroup,educGroup,vocab,age,educ
1987,female,no,30-39,>16 yrs,3,31,18
1987,male,yes,60+,<12 yrs,5,80,10
1987,male,yes,60+,<12 yrs,6,63,8
1987,female,yes,18-29,13-15 yrs,4,28,13
1987,male,yes,30-39,16 yrs,8,39,16
1987,female,no,30-39,>16 yrs,6,32,18
1987,male,yes,18-29,16 yrs,9,23,16
1987,female,yes,60+,<12 yrs,3,77,11
1987,male,yes,18-29,13-15 yrs,5,23,14
1987,male,no,50-59,<12 yrs,4,50,9
1987,male,yes,30-39,>16 yrs,10,30,20
1987,female,no,60+,12 yrs,10,66,12
1987,female,yes,30-39,16 yrs,9,39,16
1987,male,yes,30-39,16 yrs,8,31,16
1987,female,yes,30-39,12 yrs,8,39,12
1987,male,yes,30-39,>16 yrs,9,34,17
1987,male,yes,60+,<12 yrs,0,60,8
1987,male,no,18-29,12 yrs,0,23,12
1987,female,no,30-39,13-15 yrs,2,31,13
1987,female,no,30-39,12 yrs,6,38,12
1987,female,yes,18-29,13-15 yrs,6,25,13
1987,male,yes,40-49,13-15 yrs,7,44,13
1987,female,yes,18-29,>16 yrs,6,29,20
1987,female,no,60+,13-15 yrs,7,65,13
1987,male,yes,18-29,>16 yrs,7,27,17
1987,female,yes,30-39,13-15 yrs,7,30,13
1987,male,yes,50-59,16 yrs,7,57,16
1987,female,yes,50-59,12 yrs,9,57,12
1987,male,yes,60+,>16 yrs,10,62,17
1987,male,yes,40-49,>16 yrs,5,45,18
1987,female,yes,40-49,16 yrs,10,44,16
1987,female,yes,50-59,12 yrs,8,56,12
1987,female,yes,30-39,12 yrs,6,34,12
1987,female,yes,18-29,16 yrs,5,23,16
1987,male,yes,18-29,16 yrs,8,25,16
1987,female,yes,30-39,16 yrs,7,30,16
1987,female,yes,50-59,12 yrs,1,55,12
1987,female,yes,30-39,13-15 yrs,10,39,15
1987,male,no,18-29,>16 yrs,9,28,19
1987,male,yes,30-39,>16 yrs,10,31,19
1987,female,yes,30-39,>16 yrs,6,34,17
1987,male,yes,30-39,16 yrs,10,32,16
1987,female,yes,18-29,16 yrs,6,23,16
1987,male,no,18-29,<12 yrs,NA,25,5
1987,male,no,18-29,13-15 yrs,4,29,15
1987,female,yes,18-29,13-15 yrs,7,22,15
1987,female,yes,60+,<12 yrs,NA,75,8
1987,female,yes,40-49,>16 yrs,10,46,19
1987,male,yes,18-29,12 yrs,6,26,12
1987,male,yes,50-59,>16 yrs,10,50,18
1987,female,yes,18-29,12 yrs,3,22,12
1987,male,yes,18-29,12 yrs,5,27,12
1987,male,yes,40-49,<12 yrs,NA,46,11
1987,male,yes,18-29,16 yrs,4,25,16
1987,female,yes,50-59,13-15 yrs,10,55,13
1987,male,yes,60+,16 yrs,9,66,16
1987,female,yes,30-39,16 yrs,7,33,16
1987,female,yes,40-49,16 yrs,7,40,16
1987,male,yes,50-59,<12 yrs,4,51,10
1987,female,yes,60+,<12 yrs,10,68,11
1987,female,yes,18-29,12 yrs,6,24,12
1987,female,yes,60+,<12 yrs,4,88,8
1987,male,yes,40-49,12 yrs,5,46,12
1987,male,yes,30-39,13-15 yrs,8,34,14
1987,female,yes,30-39,16 yrs,6,38,16
1987,female,yes,18-29,16 yrs,10,27,16
1987,male,yes,40-49,13-15 yrs,7,40,13
1987,female,yes,30-39,13-15 yrs,7,39,14
1987,male,yes,40-49,12 yrs,4,46,12
1987,female,NA,60+,<12 yrs,NA,70,4
1987,male,yes,60+,12 yrs,6,73,12
1987,female,yes,18-29,12 yrs,6,29,12
1987,female,no,30-39,<12 yrs,4,38,8
1987,male,yes,40-49,13-15 yrs,8,43,14
1987,male,yes,40-49,12 yrs,6,46,12
1987,male,yes,18-29,>16 yrs,10,27,18
1987,male,yes,18-29,13-15 yrs,7,23,14
1987,female,yes,18-29,>16 yrs,5,25,19
1987,female,yes,18-29,>16 yrs,7,24,17
1987,male,yes,18-29,12 yrs,6,24,12
1987,male,yes,60+,12 yrs,6,73,12
1987,male,yes,18-29,>16 yrs,9,24,17
1987,female,yes,30-39,>16 yrs,9,37,17
1987,male,yes,30-39,>16 yrs,9,37,17
1987,male,yes,50-59,12 yrs,7,58,12
1987,male,yes,40-49,16 yrs,7,43,16
1987,male,yes,40-49,>16 yrs,9,46,20
1987,female,NA,30-39,NA,NA,37,NA
1987,male,yes,30-39,13-15 yrs,7,35,13
1987,male,yes,60+,13-15 yrs,6,65,14
1987,male,yes,18-29,13-15 yrs,7,25,14
1987,male,no,50-59,13-15 yrs,7,51,13
1987,female,yes,40-49,12 yrs,7,44,12
1987,male,yes,30-39,13-15 yrs,6,34,13
1987,male,yes,30-39,16 yrs,6,39,16
1987,female,yes,40-49,>16 yrs,9,41,20
1987,female,yes,60+,12 yrs,3,66,12
1987,female,yes,30-39,13-15 yrs,6,32,14
1987,male,yes,40-49,>16 yrs,9,41,18
1987,male,yes,60+,12 yrs,7,77,12
1987,female,yes,30-39,16 yrs,7,37,16
1987,female,yes,60+,<12 yrs,7,86,8
1987,female,yes,30-39,12 yrs,8,31,12
1987,female,yes,60+,12 yrs,4,70,12
1987,male,yes,30-39,13-15 yrs,9,35,13
1987,female,yes,60+,<12 yrs,8,78,8
1987,male,yes,50-59,16 yrs,10,58,16
1987,male,no,30-39,>16 yrs,7,35,17
1987,female,yes,18-29,13-15 yrs,7,26,14
1987,male,yes,50-59,16 yrs,9,54,16
1987,female,yes,18-29,16 yrs,10,29,16
1987,male,yes,18-29,16 yrs,8,24,16
1987,male,yes,50-59,13-15 yrs,6,59,14
1987,female,yes,18-29,<12 yrs,4,23,11
1987,female,yes,30-39,<12 yrs,3,35,8
1987,male,yes,18-29,<12 yrs,3,24,11
1987,male,yes,40-49,<12 yrs,NA,43,6
1987,female,yes,30-39,12 yrs,NA,36,12
1987,female,yes,60+,12 yrs,9,69,12
1987,male,yes,30-39,13-15 yrs,7,35,15
1987,male,yes,60+,<12 yrs,3,70,9
1987,female,yes,60+,12 yrs,NA,65,12
1987,male,yes,60+,16 yrs,10,70,16
1987,female,yes,60+,12 yrs,6,64,12
1987,male,yes,50-59,16 yrs,7,55,16
1987,female,yes,30-39,16 yrs,9,39,16
1987,female,yes,50-59,>16 yrs,9,56,17
1987,male,yes,60+,>16 yrs,9,83,17
1987,male,yes,50-59,>16 yrs,10,53,19
1987,male,yes,50-59,12 yrs,5,50,12
1987,male,yes,30-39,13-15 yrs,9,32,13
1987,male,yes,30-39,16 yrs,9,32,16
1987,male,yes,18-29,12 yrs,6,28,12
1987,female,yes,60+,<12 yrs,8,71,10
1987,male,yes,60+,<12 yrs,4,69,11
1987,female,yes,30-39,16 yrs,6,33,16
1987,male,yes,30-39,13-15 yrs,6,30,13
1987,male,yes,30-39,13-15 yrs,6,34,14
1987,female,yes,30-39,13-15 yrs,7,37,14
1987,female,yes,60+,12 yrs,NA,75,12
1987,male,yes,18-29,<12 yrs,4,26,11
1987,female,yes,50-59,12 yrs,6,54,12
1987,male,yes,50-59,<12 yrs,NA,58,10
1987,male,yes,60+,<12 yrs,3,64,8
1987,female,yes,30-39,<12 yrs,5,34,9
1987,male,yes,30-39,<12 yrs,3,35,9
1987,female,yes,30-39,12 yrs,2,36,12
1987,male,yes,40-49,12 yrs,4,46,12
1987,female,yes,30-39,<12 yrs,5,30,10
1987,male,yes,18-29,12 yrs,5,23,12
1987,female,yes,40-49,<12 yrs,4,43,8
1987,male,yes,50-59,>16 yrs,10,55,17
1987,male,yes,50-59,>16 yrs,8,56,18
1987,female,yes,60+,16 yrs,4,71,16
1987,male,yes,30-39,16 yrs,9,34,16
1987,female,yes,30-39,13-15 yrs,5,36,14
1987,female,yes,30-39,12 yrs,8,36,12
1987,female,yes,18-29,>16 yrs,9,29,18
1987,male,yes,18-29,<12 yrs,3,23,6
1987,male,yes,18-29,12 yrs,6,20,12
1987,female,yes,60+,13-15 yrs,7,65,13
1987,female,yes,50-59,12 yrs,6,51,12
1987,male,yes,30-39,12 yrs,6,34,12
1987,female,yes,60+,12 yrs,4,61,12
1987,male,yes,30-39,13-15 yrs,4,36,14
1987,female,yes,40-49,>16 yrs,7,40,18
1987,male,yes,30-39,16 yrs,NA,32,16
1987,female,yes,40-49,>16 yrs,7,48,19
1987,male,yes,40-49,>16 yrs,9,45,20
1987,female,yes,18-29,16 yrs,6,24,16
1987,female,yes,18-29,16 yrs,6,24,16
1987,male,yes,18-29,13-15 yrs,6,22,15
1987,male,yes,30-39,13-15 yrs,6,36,15
1987,female,yes,40-49,12 yrs,8,46,12
1987,female,yes,40-49,>16 yrs,9,40,18
1987,male,yes,50-59,>16 yrs,10,54,17
1987,male,yes,30-39,16 yrs,10,33,16
1987,male,no,30-39,>16 yrs,7,34,18
1987,male,yes,40-49,16 yrs,5,43,16
1987,male,yes,18-29,>16 yrs,7,26,18
1987,male,yes,40-49,>16 yrs,10,41,20
1987,male,yes,30-39,13-15 yrs,6,36,14
1987,male,yes,18-29,12 yrs,6,29,12
1987,male,yes,40-49,12 yrs,4,43,12
1987,male,yes,50-59,12 yrs,6,51,12
1987,male,yes,60+,<12 yrs,0,68,1
1987,female,yes,60+,<12 yrs,6,68,9
1987,female,yes,18-29,13-15 yrs,6,28,13
1987,male,yes,18-29,12 yrs,5,28,12
1987,female,yes,30-39,13-15 yrs,7,34,13
1987,male,yes,40-49,12 yrs,5,49,12
1987,female,no,60+,<12 yrs,5,73,9
1987,female,yes,30-39,12 yrs,5,34,12
1987,female,yes,40-49,13-15 yrs,9,42,15
1987,female,yes,30-39,16 yrs,10,30,16
1987,female,yes,40-49,>16 yrs,10,45,19
1987,male,yes,18-29,12 yrs,6,24,12
1987,male,yes,30-39,12 yrs,6,38,12
1987,female,yes,60+,12 yrs,9,71,12
1987,male,yes,40-49,12 yrs,8,45,12
1987,female,yes,18-29,12 yrs,9,24,12
1987,female,yes,60+,<12 yrs,5,63,8
1987,male,yes,60+,12 yrs,NA,77,12
1987,female,yes,40-49,12 yrs,7,42,12
1987,female,yes,60+,<12 yrs,5,71,9
1987,male,yes,18-29,<12 yrs,7,18,11
1987,female,yes,18-29,12 yrs,5,26,12
1987,female,yes,50-59,13-15 yrs,9,57,13
1987,male,yes,30-39,<12 yrs,6,36,11
1987,male,yes,18-29,13-15 yrs,7,25,14
1987,female,yes,30-39,13-15 yrs,7,36,14
1987,female,yes,60+,12 yrs,6,71,12
1987,female,yes,40-49,<12 yrs,7,42,10
1987,female,no,60+,<12 yrs,7,71,8
1987,female,no,40-49,16 yrs,8,48,16
1987,female,yes,18-29,13-15 yrs,6,20,13
1987,female,yes,40-49,16 yrs,9,44,16
1987,female,yes,30-39,13-15 yrs,10,36,14
1987,male,yes,18-29,13-15 yrs,5,22,14
1987,female,yes,30-39,13-15 yrs,5,32,14
1987,male,yes,18-29,12 yrs,4,22,12
1987,female,yes,30-39,16 yrs,10,30,16
1987,female,yes,30-39,13-15 yrs,9,33,14
1987,male,yes,50-59,<12 yrs,5,50,7
1987,male,yes,30-39,13-15 yrs,8,39,14
1987,female,yes,40-49,<12 yrs,5,46,9
1987,female,yes,30-39,>16 yrs,6,35,18
1987,male,yes,18-29,12 yrs,5,27,12
1987,female,yes,40-49,12 yrs,8,43,12
1987,female,yes,40-49,<12 yrs,4,42,10
1987,male,yes,30-39,>16 yrs,8,35,20
1987,female,yes,30-39,13-15 yrs,8,36,14
1987,female,yes,40-49,12 yrs,8,45,12
1987,male,yes,60+,<12 yrs,6,73,9
1987,female,yes,18-29,>16 yrs,5,25,19
1987,male,yes,30-39,13-15 yrs,5,34,13
1987,female,no,60+,12 yrs,9,68,12
1987,male,yes,60+,12 yrs,9,71,12
1987,male,no,30-39,<12 yrs,6,37,4
1987,male,yes,18-29,13-15 yrs,8,27,13
1987,male,yes,40-49,16 yrs,7,40,16
1987,female,yes,40-49,>16 yrs,10,41,17
1987,female,yes,50-59,16 yrs,8,58,16
1987,female,yes,40-49,13-15 yrs,8,44,14
1987,male,yes,18-29,16 yrs,6,23,16
1987,male,no,30-39,16 yrs,8,34,16
1987,male,yes,40-49,13-15 yrs,7,49,14
1987,male,yes,50-59,>16 yrs,10,52,20
1987,female,yes,30-39,16 yrs,9,36,16
1987,male,yes,40-49,>16 yrs,9,49,20
1987,female,yes,40-49,13-15 yrs,10,48,13
1987,male,yes,40-49,>16 yrs,8,45,20
1987,male,yes,30-39,>16 yrs,10,34,18
1987,male,yes,40-49,16 yrs,8,45,16
1987,male,yes,60+,12 yrs,6,84,12
1987,female,yes,30-39,16 yrs,9,31,16
1987,male,yes,50-59,12 yrs,6,55,12
1987,female,yes,50-59,12 yrs,6,59,12
1987,male,yes,30-39,16 yrs,7,30,16
1987,male,yes,18-29,12 yrs,1,26,12
1987,male,yes,40-49,12 yrs,6,42,12
1987,male,yes,30-39,16 yrs,9,38,16
1987,male,yes,50-59,13-15 yrs,6,54,14
1987,female,yes,30-39,>16 yrs,6,39,17
1987,male,yes,60+,13-15 yrs,6,75,14
1987,female,yes,40-49,12 yrs,6,47,12
1987,male,yes,50-59,<12 yrs,6,51,8
1987,female,yes,50-59,13-15 yrs,9,56,13
1987,male,yes,60+,13-15 yrs,7,67,13
1987,female,yes,18-29,>16 yrs,7,25,17
1987,female,yes,18-29,13-15 yrs,6,25,14
1987,male,yes,30-39,>16 yrs,10,37,20
1987,female,yes,18-29,13-15 yrs,5,29,14
1987,male,yes,30-39,16 yrs,10,37,16
1987,female,yes,30-39,12 yrs,6,36,12
1987,female,yes,60+,12 yrs,5,60,12
1987,male,yes,50-59,<12 yrs,3,52,10
1987,female,yes,18-29,13-15 yrs,5,19,13
1987,male,no,60+,13-15 yrs,9,82,13
1987,male,yes,60+,>16 yrs,9,60,17
1987,female,yes,30-39,12 yrs,7,34,12
1987,male,yes,60+,>16 yrs,8,70,19
1987,female,yes,30-39,16 yrs,7,37,16
1987,male,yes,18-29,<12 yrs,2,29,11
1987,male,yes,40-49,16 yrs,10,46,16
1987,female,yes,18-29,12 yrs,5,20,12
1987,male,yes,30-39,16 yrs,8,38,16
1987,female,yes,18-29,13-15 yrs,3,26,14
1987,female,yes,18-29,<12 yrs,2,19,11
1987,female,yes,40-49,13-15 yrs,7,48,14
1987,female,yes,40-49,12 yrs,6,40,12
1987,female,yes,30-39,12 yrs,8,35,12
1987,male,yes,30-39,>16 yrs,7,36,18
1987,female,yes,50-59,12 yrs,8,51,12
1987,female,yes,50-59,12 yrs,6,50,12
1987,female,yes,18-29,12 yrs,6,22,12
1987,female,yes,30-39,13-15 yrs,5,36,13
1987,male,yes,40-49,12 yrs,5,45,12
1987,female,yes,60+,13-15 yrs,7,66,15
1987,female,no,60+,<12 yrs,3,68,9
1987,male,yes,60+,<12 yrs,1,64,10
1987,male,yes,40-49,12 yrs,6,44,12
1987,male,yes,60+,13-15 yrs,4,80,13
1987,male,yes,18-29,13-15 yrs,4,29,13
1987,male,yes,30-39,12 yrs,9,31,12
1987,male,yes,40-49,12 yrs,3,44,12
1987,male,yes,18-29,12 yrs,6,27,12
1987,female,yes,30-39,12 yrs,8,39,12
1987,female,yes,50-59,13-15 yrs,8,58,14
1987,male,yes,40-49,16 yrs,9,42,16
1987,male,yes,50-59,<12 yrs,3,51,11
1987,male,yes,50-59,>16 yrs,8,54,18
1987,female,yes,60+,12 yrs,8,71,12
1987,female,yes,60+,12 yrs,6,65,12
1987,male,yes,30-39,13-15 yrs,8,31,15
1987,male,yes,30-39,>16 yrs,8,32,18
1987,male,yes,18-29,13-15 yrs,6,23,15
1987,male,yes,30-39,13-15 yrs,5,33,15
1987,female,yes,18-29,13-15 yrs,8,23,14
1987,male,yes,50-59,<12 yrs,7,53,11
1987,male,yes,30-39,12 yrs,5,30,12
1987,female,yes,30-39,>16 yrs,8,30,17
1987,female,yes,30-39,12 yrs,2,35,12
1987,female,yes,18-29,12 yrs,6,25,12
1987,male,yes,40-49,13-15 yrs,6,44,13
1987,female,no,18-29,12 yrs,7,28,12
1987,female,yes,30-39,13-15 yrs,5,31,14
1987,female,yes,40-49,16 yrs,10,45,16
1987,male,yes,60+,13-15 yrs,8,67,14
1987,female,yes,18-29,16 yrs,8,28,16
1987,female,yes,18-29,>16 yrs,9,29,17
1987,male,yes,30-39,13-15 yrs,9,34,15
1987,female,yes,60+,12 yrs,9,66,12
1987,male,yes,60+,12 yrs,8,64,12
1987,female,yes,40-49,13-15 yrs,6,45,13
1987,male,yes,60+,<12 yrs,6,88,8
1987,male,yes,40-49,>16 yrs,7,49,18
1987,female,yes,60+,12 yrs,4,75,12
1987,male,yes,60+,<12 yrs,6,78,8
1987,male,yes,18-29,<12 yrs,7,18,11
1987,male,yes,50-59,16 yrs,7,55,16
1987,female,yes,18-29,13-15 yrs,6,24,14
1987,female,yes,50-59,<12 yrs,8,53,11
1987,male,yes,50-59,16 yrs,8,59,16
1987,male,yes,30-39,16 yrs,9,38,16
1987,female,yes,18-29,13-15 yrs,9,21,14
1987,male,yes,50-59,13-15 yrs,7,59,14
1987,female,yes,60+,<12 yrs,NA,69,10
1987,female,yes,60+,<12 yrs,NA,65,5
1987,female,yes,60+,12 yrs,NA,76,12
1987,male,yes,18-29,13-15 yrs,4,21,13
1987,male,yes,50-59,13-15 yrs,7,58,13
1987,male,yes,30-39,13-15 yrs,6,38,14
1987,female,yes,40-49,12 yrs,6,45,12
1987,female,yes,30-39,16 yrs,7,36,16
1987,male,yes,60+,12 yrs,5,65,12
1987,male,yes,30-39,13-15 yrs,6,39,14
1987,male,yes,60+,>16 yrs,9,79,19
1987,female,yes,60+,<12 yrs,4,77,8
1987,female,yes,50-59,12 yrs,4,54,12
1987,female,yes,18-29,12 yrs,1,26,12
1987,female,yes,60+,12 yrs,6,70,12
1987,female,yes,18-29,13-15 yrs,3,26,13
1987,male,yes,60+,13-15 yrs,NA,69,15
1987,female,yes,30-39,13-15 yrs,4,36,13
1987,male,yes,60+,13-15 yrs,5,62,13
1987,male,yes,18-29,13-15 yrs,5,29,13
1987,female,yes,18-29,13-15 yrs,5,23,14
1987,female,yes,60+,<12 yrs,6,72,8
1987,female,yes,30-39,<12 yrs,6,32,8
1987,male,yes,60+,12 yrs,8,85,12
1987,male,yes,18-29,<12 yrs,2,22,11
1987,female,yes,18-29,<12 yrs,3,21,11
1987,female,yes,30-39,12 yrs,5,30,12
1987,female,yes,30-39,12 yrs,5,36,12
1987,male,yes,30-39,<12 yrs,5,35,10
1987,male,yes,18-29,12 yrs,5,22,12
1987,male,yes,18-29,12 yrs,6,24,12
1987,female,yes,60+,12 yrs,8,62,12
1987,male,yes,18-29,<12 yrs,3,26,9
1987,female,yes,50-59,13-15 yrs,9,54,14
1987,male,yes,30-39,<12 yrs,4,38,9
1987,female,yes,60+,12 yrs,7,72,12
1987,female,yes,40-49,12 yrs,6,45,12
1987,male,yes,60+,12 yrs,5,62,12
1987,female,yes,18-29,13-15 yrs,4,28,13
1987,female,yes,50-59,<12 yrs,4,50,10
1987,male,yes,50-59,16 yrs,9,58,16
1987,female,yes,50-59,>16 yrs,8,51,17
1987,female,yes,50-59,16 yrs,9,58,16
1987,female,yes,18-29,12 yrs,7,29,12
1987,female,yes,50-59,13-15 yrs,6,53,13
1987,female,yes,50-59,12 yrs,6,54,12
1987,female,yes,18-29,12 yrs,5,19,12
1987,female,yes,40-49,12 yrs,7,48,12
1987,male,yes,30-39,<12 yrs,4,39,11
1987,male,yes,60+,13-15 yrs,5,68,14
1987,male,yes,30-39,12 yrs,5,31,12
1987,male,yes,60+,<12 yrs,5,76,9
1987,female,yes,60+,<12 yrs,NA,63,10
1987,male,yes,60+,13-15 yrs,6,65,15
1987,male,yes,30-39,12 yrs,4,34,12
1987,female,yes,30-39,<12 yrs,3,36,9
1987,male,yes,60+,12 yrs,9,70,12
1987,female,yes,18-29,12 yrs,5,21,12
1987,male,yes,18-29,16 yrs,10,23,16
1987,female,yes,30-39,>16 yrs,7,32,17
1987,female,yes,18-29,12 yrs,5,25,12
1987,female,yes,18-29,12 yrs,6,24,12
1987,female,yes,40-49,12 yrs,7,46,12
1987,female,yes,30-39,>16 yrs,8,38,17
1987,male,yes,40-49,12 yrs,5,40,12
1987,female,yes,30-39,13-15 yrs,9,31,13
1987,male,yes,30-39,13-15 yrs,8,31,14
1987,female,yes,60+,<12 yrs,0,87,8
1987,female,yes,50-59,>16 yrs,10,57,17
1987,female,yes,60+,<12 yrs,3,63,10
1987,male,yes,30-39,12 yrs,8,33,12
1987,male,yes,18-29,12 yrs,6,24,12
1987,male,yes,18-29,<12 yrs,2,28,11
1987,female,yes,30-39,13-15 yrs,8,33,13
1987,female,yes,40-49,13-15 yrs,6,46,14
1987,female,yes,60+,12 yrs,8,60,12
1987,male,yes,30-39,13-15 yrs,6,31,14
1987,male,yes,50-59,12 yrs,4,54,12
1987,male,yes,18-29,16 yrs,8,25,16
1987,female,yes,18-29,13-15 yrs,6,22,14
1987,female,yes,40-49,13-15 yrs,6,44,13
1987,female,yes,60+,12 yrs,6,78,12
1987,female,yes,30-39,13-15 yrs,10,30,13
1987,female,yes,30-39,<12 yrs,3,34,8
1987,female,yes,50-59,13-15 yrs,6,52,15
1987,female,yes,60+,12 yrs,5,68,12
1987,female,yes,60+,13-15 yrs,5,70,13
1987,female,yes,30-39,12 yrs,5,34,12
1987,male,yes,30-39,12 yrs,3,38,12
1987,female,yes,60+,12 yrs,5,62,12
1987,female,yes,30-39,12 yrs,7,37,12
1987,male,yes,40-49,12 yrs,2,48,12
1987,male,yes,40-49,16 yrs,7,49,16
1987,female,yes,60+,<12 yrs,7,67,10
1987,male,yes,40-49,>16 yrs,6,47,17
1987,male,yes,30-39,12 yrs,3,36,12
1987,female,yes,60+,12 yrs,5,74,12
1987,female,yes,30-39,12 yrs,3,31,12
1987,female,yes,60+,<12 yrs,4,71,9
1987,female,yes,60+,13-15 yrs,8,70,13
1987,female,yes,18-29,<12 yrs,4,25,10
1987,male,yes,50-59,12 yrs,6,52,12
1987,female,yes,18-29,<12 yrs,4,23,11
1987,female,yes,40-49,<12 yrs,5,48,11
1987,female,no,30-39,12 yrs,4,37,12
1987,female,yes,30-39,<12 yrs,6,33,8
1987,female,yes,60+,12 yrs,5,68,12
1987,female,yes,60+,<12 yrs,NA,78,8
1987,female,yes,60+,<12 yrs,5,75,9
1987,female,yes,60+,<12 yrs,5,64,7
1987,female,yes,40-49,12 yrs,6,46,12
1987,female,yes,60+,<12 yrs,5,75,7
1987,female,yes,30-39,12 yrs,6,30,12
1987,female,yes,60+,<12 yrs,5,82,10
1987,female,yes,30-39,13-15 yrs,4,34,14
1987,male,yes,50-59,12 yrs,5,50,12
1987,female,yes,50-59,<12 yrs,8,52,9
1987,male,yes,30-39,12 yrs,3,32,12
1987,female,yes,30-39,13-15 yrs,6,37,13
1987,female,yes,60+,<12 yrs,NA,78,0
1987,male,yes,60+,<12 yrs,NA,68,9
1987,male,yes,18-29,13-15 yrs,5,23,13
1987,female,yes,30-39,12 yrs,4,32,12
1987,female,yes,18-29,13-15 yrs,5,25,15
1987,female,yes,60+,<12 yrs,NA,76,9
1987,female,yes,40-49,12 yrs,7,48,12
1987,male,yes,50-59,<12 yrs,10,58,9
1987,female,yes,50-59,12 yrs,7,51,12
1987,female,yes,30-39,<12 yrs,5,34,11
1987,female,yes,40-49,>16 yrs,10,40,18
1987,female,yes,40-49,<12 yrs,3,45,7
1987,male,no,60+,<12 yrs,4,74,6
1987,male,yes,60+,<12 yrs,3,62,9
1987,male,yes,60+,13-15 yrs,10,80,14
1987,female,yes,50-59,<12 yrs,3,52,11
1987,female,yes,30-39,12 yrs,10,39,12
1987,male,yes,60+,<12 yrs,2,65,8
1987,male,yes,30-39,16 yrs,10,30,16
1987,male,yes,18-29,16 yrs,9,29,16
1987,male,yes,18-29,13-15 yrs,6,20,13
1987,male,yes,30-39,16 yrs,7,37,16
1987,female,yes,18-29,16 yrs,8,27,16
1987,female,yes,60+,12 yrs,6,77,12
1987,female,yes,50-59,12 yrs,6,55,12
1987,female,yes,18-29,12 yrs,4,27,12
1987,female,yes,30-39,12 yrs,5,35,12
1987,male,yes,18-29,13-15 yrs,2,22,14
1987,female,yes,30-39,16 yrs,3,33,16
1987,male,yes,50-59,12 yrs,4,59,12
1987,female,yes,18-29,12 yrs,6,27,12
1987,female,yes,30-39,13-15 yrs,5,39,14
1987,female,no,30-39,13-15 yrs,3,38,15
1987,female,yes,30-39,<12 yrs,NA,39,9
1987,male,yes,40-49,12 yrs,8,41,12
1987,female,yes,18-29,13-15 yrs,4,27,13
1987,female,yes,18-29,13-15 yrs,4,19,13
1987,female,yes,40-49,<12 yrs,6,44,9
1987,female,yes,60+,<12 yrs,0,72,9
1987,female,yes,60+,12 yrs,9,79,12
1987,female,yes,60+,<12 yrs,2,67,6
1987,female,yes,50-59,<12 yrs,NA,53,9
1987,female,yes,30-39,>16 yrs,9,30,20
1987,male,yes,50-59,>16 yrs,10,56,20
1987,female,yes,60+,>16 yrs,10,71,20
1987,male,yes,18-29,<12 yrs,4,20,9
1987,female,yes,18-29,13-15 yrs,7,23,14
1987,male,yes,40-49,12 yrs,6,48,12
1987,male,yes,30-39,13-15 yrs,5,37,13
1987,female,yes,30-39,<12 yrs,6,34,11
1987,female,yes,30-39,<12 yrs,2,31,11
1987,female,yes,30-39,13-15 yrs,2,32,14
1987,male,yes,18-29,12 yrs,4,27,12
1987,female,yes,30-39,<12 yrs,5,36,9
1987,male,yes,30-39,12 yrs,0,30,12
1987,female,yes,60+,12 yrs,1,86,12
1987,male,yes,18-29,12 yrs,4,28,12
1987,male,yes,30-39,13-15 yrs,5,30,15
1987,female,yes,40-49,13-15 yrs,4,45,14
1987,male,yes,18-29,<12 yrs,NA,28,10
1987,female,yes,18-29,12 yrs,3,19,12
1987,female,yes,50-59,>16 yrs,8,50,18
1987,male,yes,30-39,13-15 yrs,5,36,15
1987,male,yes,18-29,<12 yrs,1,21,11
1987,female,yes,40-49,13-15 yrs,10,45,13
1987,male,yes,50-59,12 yrs,0,56,12
1987,female,yes,40-49,13-15 yrs,3,42,13
1987,female,yes,NA,<12 yrs,NA,NA,0
1987,female,yes,60+,12 yrs,6,75,12
1987,male,no,18-29,>16 yrs,7,26,18
1987,female,yes,18-29,12 yrs,1,28,12
1987,female,yes,50-59,NA,6,54,NA
1987,male,yes,60+,16 yrs,5,65,16
1987,female,NA,NA,NA,NA,NA,NA
1987,female,yes,50-59,<12 yrs,3,52,9
1987,male,yes,50-59,13-15 yrs,6,57,15
1987,female,yes,60+,16 yrs,6,74,16
1987,male,yes,30-39,12 yrs,6,36,12
1987,male,yes,30-39,<12 yrs,NA,34,7
1987,male,NA,NA,NA,NA,NA,NA
1987,female,yes,50-59,<12 yrs,4,54,7
1987,female,yes,30-39,<12 yrs,3,34,8
1987,female,yes,50-59,<12 yrs,3,58,9
1987,male,yes,60+,<12 yrs,NA,67,3
1987,female,yes,30-39,13-15 yrs,4,31,14
1987,female,yes,18-29,12 yrs,5,20,12
1987,male,yes,40-49,16 yrs,9,41,16
1987,male,yes,18-29,12 yrs,4,25,12
1987,female,no,50-59,12 yrs,1,58,12
1987,male,yes,30-39,13-15 yrs,9,39,14
1987,female,yes,60+,<12 yrs,5,61,10
1987,male,no,18-29,12 yrs,5,23,12
1987,female,no,30-39,12 yrs,NA,39,12
1987,female,yes,60+,<12 yrs,3,70,11
1987,female,yes,30-39,12 yrs,6,34,12
1987,male,yes,30-39,13-15 yrs,3,39,15
1987,male,yes,40-49,12 yrs,9,42,12
1987,male,yes,60+,16 yrs,7,69,16
1987,female,no,60+,12 yrs,9,76,12
1987,female,yes,60+,<12 yrs,6,60,9
1987,male,yes,60+,<12 yrs,6,76,11
1987,male,yes,60+,<12 yrs,4,70,6
